date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,110,Baltimore Orioles,668939,Adley Rutschman,C,active
2026-05-06,110,Baltimore Orioles,552640,Andrew Kittredge,P,active
2026-05-06,110,Baltimore Orioles,689296,Anthony Nunez,P,active
2026-05-06,110,Baltimore Orioles,677942,Blaze Alexander,3B,active
2026-05-06,110,Baltimore Orioles,687064,Brandon Young,P,active
2026-05-06,110,Baltimore Orioles,700249,Cade Povich,P,active
2026-05-06,110,Baltimore Orioles,605135,Chris Bassitt,P,active
2026-05-06,110,Baltimore Orioles,691723,Coby Mayo,3B,active
2026-05-06,110,Baltimore Orioles,681297,Colton Cowser,RF,active
2026-05-06,110,Baltimore Orioles,608650,Dietrich Enns,P,active
2026-05-06,110,Baltimore Orioles,687637,Dylan Beavers,RF,active
2026-05-06,110,Baltimore Orioles,664991,Grant Wolfram,P,active
2026-05-06,110,Baltimore Orioles,683002,Gunnar Henderson,SS,active
2026-05-06,110,Baltimore Orioles,669236,Jeremiah Jackson,2B,active
2026-05-06,110,Baltimore Orioles,669211,Keegan Akin,P,active
2026-05-06,110,Baltimore Orioles,680694,Kyle Bradish,P,active
2026-05-06,110,Baltimore Orioles,665750,Leody Taveras,CF,active
2026-05-06,110,Baltimore Orioles,642152,Lou Trivino,P,active
2026-05-06,110,Baltimore Orioles,624413,Pete Alonso,1B,active
2026-05-06,110,Baltimore Orioles,670329,Rico Garcia,P,active
2026-05-06,110,Baltimore Orioles,694212,Samuel Basallo,C,active
2026-05-06,110,Baltimore Orioles,669358,Shane Baz,P,active
2026-05-06,110,Baltimore Orioles,621493,Taylor Ward,LF,active
2026-05-06,110,Baltimore Orioles,641933,Tyler O'Neill,RF,active
2026-05-06,110,Baltimore Orioles,642215,Weston Wilson,3B,active
2026-05-06,110,Baltimore Orioles,666974,Yennier Cano,P,active
