date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,113,Cincinnati Reds,671096,Andrew Abbott,P,active
2026-05-06,113,Cincinnati Reds,694362,Blake Dunn,LF,active
2026-05-06,113,Cincinnati Reds,663903,Brady Singer,P,active
2026-05-06,113,Cincinnati Reds,656271,Brock Burke,P,active
2026-05-06,113,Cincinnati Reds,695505,Chase Burns,P,active
2026-05-06,113,Cincinnati Reds,695534,Chase Petty,P,active
2026-05-06,113,Cincinnati Reds,683175,Connor Phillips,P,active
2026-05-06,113,Cincinnati Reds,667472,Dane Myers,CF,active
2026-05-06,113,Cincinnati Reds,682829,Elly De La Cruz,SS,active
2026-05-06,113,Cincinnati Reds,641941,Emilio Pagán,P,active
2026-05-06,113,Cincinnati Reds,668933,Graham Ashcraft,P,active
2026-05-06,113,Cincinnati Reds,668709,JJ Bleday,LF,active
2026-05-06,113,Cincinnati Reds,683742,Jose Franco,P,active
2026-05-06,113,Cincinnati Reds,624431,Jose Trevino,C,active
2026-05-06,113,Cincinnati Reds,663647,Ke'Bryan Hayes,3B,active
2026-05-06,113,Cincinnati Reds,682825,Luis Mey,P,active
2026-05-06,113,Cincinnati Reds,680574,Matt McLain,2B,active
2026-05-06,113,Cincinnati Reds,663993,Nathaniel Lowe,1B,active
2026-05-06,113,Cincinnati Reds,695076,Rhett Lowder,P,active
2026-05-06,113,Cincinnati Reds,701398,Sal Stewart,1B,active
2026-05-06,113,Cincinnati Reds,594580,Sam Moll,P,active
2026-05-06,113,Cincinnati Reds,668715,Spencer Steer,LF,active
2026-05-06,113,Cincinnati Reds,670770,TJ Friedl,CF,active
2026-05-06,113,Cincinnati Reds,663574,Tony Santillan,P,active
2026-05-06,113,Cincinnati Reds,663886,Tyler Stephenson,C,active
2026-05-06,113,Cincinnati Reds,666181,Will Benson,RF,active
