date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,114,Cleveland Guardians,682657,Angel Martínez,LF,active
2026-05-06,114,Cleveland Guardians,595978,Austin Hedges,C,active
2026-05-06,114,Cleveland Guardians,666310,Bo Naylor,C,active
2026-05-06,114,Cleveland Guardians,677587,Brayan Rocchio,SS,active
2026-05-06,114,Cleveland Guardians,671922,Cade Smith,P,active
2026-05-06,114,Cleveland Guardians,800050,Chase DeLauter,RF,active
2026-05-06,114,Cleveland Guardians,670059,Colin Holderman,P,active
2026-05-06,114,Cleveland Guardians,641401,Connor Brogdon,P,active
2026-05-06,114,Cleveland Guardians,682177,Daniel Schneemann,CF,active
2026-05-06,114,Cleveland Guardians,681807,David Fry,RF,active
2026-05-06,114,Cleveland Guardians,681870,Erik Sabrowski,P,active
2026-05-06,114,Cleveland Guardians,668909,Gavin Williams,P,active
2026-05-06,114,Cleveland Guardians,683769,Hunter Gaddis,P,active
2026-05-06,114,Cleveland Guardians,676282,Joey Cantillo,P,active
2026-05-06,114,Cleveland Guardians,608070,José Ramírez,3B,active
2026-05-06,114,Cleveland Guardians,700932,Kyle Manzardo,1B,active
2026-05-06,114,Cleveland Guardians,670036,Matt Festa,P,active
2026-05-06,114,Cleveland Guardians,800048,Parker Messick,P,active
2026-05-06,114,Cleveland Guardians,690984,Petey Halpin,CF,active
2026-05-06,114,Cleveland Guardians,688883,Peyton Pallette,P,active
2026-05-06,114,Cleveland Guardians,656555,Rhys Hoskins,1B,active
2026-05-06,114,Cleveland Guardians,677944,Slade Cecconi,P,active
2026-05-06,114,Cleveland Guardians,680757,Steven Kwan,CF,active
2026-05-06,114,Cleveland Guardians,676440,Tanner Bibee,P,active
2026-05-06,114,Cleveland Guardians,682120,Tim Herrin,P,active
2026-05-06,114,Cleveland Guardians,683953,Travis Bazzana,2B,active
