date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,116,Detroit Tigers,676428,Brant Hurter,P,active
2026-05-06,116,Detroit Tigers,669724,Brenan Hanifee,P,active
2026-05-06,116,Detroit Tigers,572143,Burch Smith,P,active
2026-05-06,116,Detroit Tigers,690993,Colt Keith,3B,active
2026-05-06,116,Detroit Tigers,693307,Dillon Dingler,C,active
2026-05-06,116,Detroit Tigers,623454,Drew Anderson,P,active
2026-05-06,116,Detroit Tigers,646241,Enmanuel De Jesus,P,active
2026-05-06,116,Detroit Tigers,664285,Framber Valdez,P,active
2026-05-06,116,Detroit Tigers,650402,Gleyber Torres,2B,active
2026-05-06,116,Detroit Tigers,701678,Hao-Yu  Lee,3B,active
2026-05-06,116,Detroit Tigers,656427,Jack Flaherty,P,active
2026-05-06,116,Detroit Tigers,663330,Jahmai Jones,RF,active
2026-05-06,116,Detroit Tigers,668670,Jake Rogers,C,active
2026-05-06,116,Detroit Tigers,672456,Keider Montero,P,active
2026-05-06,116,Detroit Tigers,445276,Kenley Jansen,P,active
2026-05-06,116,Detroit Tigers,681481,Kerry Carpenter,RF,active
2026-05-06,116,Detroit Tigers,805808,Kevin McGonigle,SS,active
2026-05-06,116,Detroit Tigers,640448,Kyle Finnegan,P,active
2026-05-06,116,Detroit Tigers,663837,Matt Vierling,CF,active
2026-05-06,116,Detroit Tigers,676568,Ricky Vanasco,P,active
2026-05-06,116,Detroit Tigers,682985,Riley Greene,LF,active
2026-05-06,116,Detroit Tigers,679529,Spencer Torkelson,1B,active
2026-05-06,116,Detroit Tigers,680744,Ty Madden,P,active
2026-05-06,116,Detroit Tigers,663947,Tyler Holton,P,active
2026-05-06,116,Detroit Tigers,672761,Wenceel Pérez,RF,active
2026-05-06,116,Detroit Tigers,656716,Zach McKinstry,2B,active
