date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,117,Houston Astros,805123,AJ Blubaugh,P,active
2026-05-06,117,Houston Astros,656986,Bennett Sousa,P,active
2026-05-06,117,Houston Astros,669699,Braden Shewmake,2B,active
2026-05-06,117,Houston Astros,694728,Brice Matthews,LF,active
2026-05-06,117,Houston Astros,650556,Bryan Abreu,P,active
2026-05-06,117,Houston Astros,687911,Bryan King,P,active
2026-05-06,117,Houston Astros,701358,Cam Smith,RF,active
2026-05-06,117,Houston Astros,621043,Carlos Correa,SS,active
2026-05-06,117,Houston Astros,663967,César Salazar,C,active
2026-05-06,117,Houston Astros,543877,Christian Vázquez,C,active
2026-05-06,117,Houston Astros,572233,Christian Walker,1B,active
2026-05-06,117,Houston Astros,675989,Cody Bolton,P,active
2026-05-06,117,Houston Astros,660853,Enyel De Los Santos,P,active
2026-05-06,117,Houston Astros,670623,Isaac Paredes,3B,active
2026-05-06,117,Houston Astros,669920,Jason Alexander,P,active
2026-05-06,117,Houston Astros,514888,Jose Altuve,2B,active
2026-05-06,117,Houston Astros,678906,Kai-Wei Teng,P,active
2026-05-06,117,Houston Astros,621121,Lance McCullers Jr.,P,active
2026-05-06,117,Houston Astros,681347,Mike Burrows,P,active
2026-05-06,117,Houston Astros,669397,Nick Allen,SS,active
2026-05-06,117,Houston Astros,663567,Peter Lambert,P,active
2026-05-06,117,Houston Astros,681293,Spencer Arrighetti,P,active
2026-05-06,117,Houston Astros,595345,Steven Okert,P,active
2026-05-06,117,Houston Astros,670541,Yordan Alvarez,LF,active
2026-05-06,117,Houston Astros,805904,Zach Cole,CF,active
2026-05-06,117,Houston Astros,701305,Zach Dezenzo,LF,active
