date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,118,Kansas City Royals,656638,Alex Lange,P,active
2026-05-06,118,Kansas City Royals,677951,Bobby Witt Jr.,SS,active
2026-05-06,118,Kansas City Royals,695600,Carter Jensen,C,active
2026-05-06,118,Kansas City Royals,666142,Cole Ragans,P,active
2026-05-06,118,Kansas City Royals,663738,Daniel Lynch IV,P,active
2026-05-06,118,Kansas City Royals,553869,Elias Díaz,C,active
2026-05-06,118,Kansas City Royals,686555,Isaac Collins,LF,active
2026-05-06,118,Kansas City Royals,695506,Jac Caglianone,RF,active
2026-05-06,118,Kansas City Royals,670167,John Schreiber,P,active
2026-05-06,118,Kansas City Royals,663460,Kris Bubic,P,active
2026-05-06,118,Kansas City Royals,664728,Kyle Isbel,CF,active
2026-05-06,118,Kansas City Royals,657041,Lane Thomas,CF,active
2026-05-06,118,Kansas City Royals,668674,Lucas Erceg,P,active
2026-05-06,118,Kansas City Royals,679883,Luinder Avila,P,active
2026-05-06,118,Kansas City Royals,672580,Maikel Garcia,3B,active
2026-05-06,118,Kansas City Royals,621381,Matt Strahm,P,active
2026-05-06,118,Kansas City Royals,686681,Michael Massey,2B,active
2026-05-06,118,Kansas City Royals,608379,Michael Wacha,P,active
2026-05-06,118,Kansas City Royals,679845,Nick Loftin,3B,active
2026-05-06,118,Kansas City Royals,683232,Nick Mears,P,active
2026-05-06,118,Kansas City Royals,702070,Noah Cameron,P,active
2026-05-06,118,Kansas City Royals,521692,Salvador Perez,C,active
2026-05-06,118,Kansas City Royals,607625,Seth Lugo,P,active
2026-05-06,118,Kansas City Royals,516782,Starling Marte,RF,active
2026-05-06,118,Kansas City Royals,663568,Stephen Kolek,P,active
2026-05-06,118,Kansas City Royals,686469,Vinnie Pasquantino,1B,active
