date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,119,Los Angeles Dodgers,669743,Alex Call,LF,active
2026-05-06,119,Los Angeles Dodgers,690976,Alex Freeland,2B,active
2026-05-06,119,Los Angeles Dodgers,681911,Alex Vesia,P,active
2026-05-06,119,Los Angeles Dodgers,681624,Andy Pages,CF,active
2026-05-06,119,Los Angeles Dodgers,595014,Blake Treinen,P,active
2026-05-06,119,Los Angeles Dodgers,687221,Dalton Rushing,C,active
2026-05-06,119,Los Angeles Dodgers,683618,Edgardo Henriquez,P,active
2026-05-06,119,Los Angeles Dodgers,686218,Emmet Sheehan,P,active
2026-05-06,119,Los Angeles Dodgers,518692,Freddie Freeman,1B,active
2026-05-06,119,Los Angeles Dodgers,808975,Hyeseong Kim,SS,active
2026-05-06,119,Los Angeles Dodgers,676263,Jack Dreyer,P,active
2026-05-06,119,Los Angeles Dodgers,671109,Jake Eder,P,active
2026-05-06,119,Los Angeles Dodgers,680736,Justin Wrobleski,P,active
2026-05-06,119,Los Angeles Dodgers,669165,Kyle Hurt,P,active
2026-05-06,119,Los Angeles Dodgers,663656,Kyle Tucker,RF,active
2026-05-06,119,Los Angeles Dodgers,571970,Max Muncy,3B,active
2026-05-06,119,Los Angeles Dodgers,500743,Miguel Rojas,SS,active
2026-05-06,119,Los Angeles Dodgers,808963,Roki Sasaki,P,active
2026-05-06,119,Los Angeles Dodgers,669289,Santiago Espinal,3B,active
2026-05-06,119,Los Angeles Dodgers,660271,Shohei Ohtani,TWP,active
2026-05-06,119,Los Angeles Dodgers,656945,Tanner Scott,P,active
2026-05-06,119,Los Angeles Dodgers,606192,Teoscar Hernández,LF,active
2026-05-06,119,Los Angeles Dodgers,607192,Tyler Glasnow,P,active
2026-05-06,119,Los Angeles Dodgers,694361,Will Klein,P,active
2026-05-06,119,Los Angeles Dodgers,669257,Will Smith,C,active
2026-05-06,119,Los Angeles Dodgers,808967,Yoshinobu Yamamoto,P,active
