date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,121,New York Mets,628451,Andy Ibáñez,2B,active
2026-05-06,121,New York Mets,596103,Austin Slater,LF,active
2026-05-06,121,New York Mets,681810,Austin Warren,P,active
2026-05-06,121,New York Mets,666182,Bo Bichette,3B,active
2026-05-06,121,New York Mets,683146,Brett Baty,RF,active
2026-05-06,121,New York Mets,548384,Brooks Raley,P,active
2026-05-06,121,New York Mets,701807,Carson Benge,LF,active
2026-05-06,121,New York Mets,681035,Christian Scott,P,active
2026-05-06,121,New York Mets,605280,Clay Holmes,P,active
2026-05-06,121,New York Mets,518886,Craig Kimbrel,P,active
2026-05-06,121,New York Mets,656849,David Peterson,P,active
2026-05-06,121,New York Mets,642207,Devin Williams,P,active
2026-05-06,121,New York Mets,682626,Francisco Alvarez,C,active
2026-05-06,121,New York Mets,642547,Freddy Peralta,P,active
2026-05-06,121,New York Mets,623211,Huascar Brazobán,P,active
2026-05-06,121,New York Mets,665742,Juan Soto,LF,active
2026-05-06,121,New York Mets,620443,Luis Torrens,C,active
2026-05-06,121,New York Mets,596133,Luke Weaver,P,active
2026-05-06,121,New York Mets,669004,MJ Melendez,LF,active
2026-05-06,121,New York Mets,543760,Marcus Semien,2B,active
2026-05-06,121,New York Mets,668901,Mark Vientos,1B,active
2026-05-06,121,New York Mets,690997,Nolan McLean,P,active
2026-05-06,121,New York Mets,640455,Sean Manaea,P,active
2026-05-06,121,New York Mets,668964,Tobias Myers,P,active
2026-05-06,121,New York Mets,621438,Tyrone Taylor,RF,active
2026-05-06,121,New York Mets,660644,Vidal Bruján,3B,active
