date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,134,Pittsburgh Pirates,695257,Billy Cook,RF,active
2026-05-06,134,Pittsburgh Pirates,664040,Brandon Lowe,2B,active
2026-05-06,134,Pittsburgh Pirates,677952,Braxton Ashcraft,P,active
2026-05-06,134,Pittsburgh Pirates,668804,Bryan Reynolds,LF,active
2026-05-06,134,Pittsburgh Pirates,696149,Bubba Chandler,P,active
2026-05-06,134,Pittsburgh Pirates,669387,Carmen Mlodzinski,P,active
2026-05-06,134,Pittsburgh Pirates,642701,Dennis Santana,P,active
2026-05-06,134,Pittsburgh Pirates,681895,Evan Sisk,P,active
2026-05-06,134,Pittsburgh Pirates,642397,Gregory Soto,P,active
2026-05-06,134,Pittsburgh Pirates,680779,Henry Davis,C,active
2026-05-06,134,Pittsburgh Pirates,676755,Isaac Mattson,P,active
2026-05-06,134,Pittsburgh Pirates,663968,Jake Mangum,LF,active
2026-05-06,134,Pittsburgh Pirates,669707,Jared Triolo,SS,active
2026-05-06,134,Pittsburgh Pirates,663698,Joey Bart,C,active
2026-05-06,134,Pittsburgh Pirates,664875,Justin Lawrence,P,active
2026-05-06,134,Pittsburgh Pirates,804606,Konnor Griffin,SS,active
2026-05-06,134,Pittsburgh Pirates,542303,Marcell Ozuna,DH,active
2026-05-06,134,Pittsburgh Pirates,682254,Mason Montgomery,P,active
2026-05-06,134,Pittsburgh Pirates,656605,Mitch Keller,P,active
2026-05-06,134,Pittsburgh Pirates,693304,Nick Gonzales,3B,active
2026-05-06,134,Pittsburgh Pirates,665833,Oneil Cruz,CF,active
2026-05-06,134,Pittsburgh Pirates,694973,Paul Skenes,P,active
2026-05-06,134,Pittsburgh Pirates,656811,Ryan O'Hearn,RF,active
2026-05-06,134,Pittsburgh Pirates,687462,Spencer Horwitz,1B,active
2026-05-06,134,Pittsburgh Pirates,670990,Yohan Ramírez,P,active
