date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,135,San Diego Padres,670970,Adrian Morejon,P,active
2026-05-06,135,San Diego Padres,699134,Bradgley Rodriguez,P,active
2026-05-06,135,San Diego Padres,669369,Bryce Johnson,RF,active
2026-05-06,135,San Diego Padres,665487,Fernando Tatis Jr.,RF,active
2026-05-06,135,San Diego Padres,666023,Freddy Fermin,C,active
2026-05-06,135,San Diego Padres,657757,Gavin Sheets,1B,active
2026-05-06,135,San Diego Padres,656288,Griffin Canning,P,active
2026-05-06,135,San Diego Padres,701538,Jackson Merrill,CF,active
2026-05-06,135,San Diego Padres,592094,Jason Adam,P,active
2026-05-06,135,San Diego Padres,669093,Jeremiah Estrada,P,active
2026-05-06,135,San Diego Padres,669134,Luis Campusano,C,active
2026-05-06,135,San Diego Padres,592518,Manny Machado,3B,active
2026-05-06,135,San Diego Padres,695243,Mason Miller,P,active
2026-05-06,135,San Diego Padres,663362,Matt Waldron,P,active
2026-05-06,135,San Diego Padres,650633,Michael King,P,active
2026-05-06,135,San Diego Padres,609280,Miguel Andujar,3B,active
2026-05-06,135,San Diego Padres,592206,Nick Castellanos,RF,active
2026-05-06,135,San Diego Padres,657656,Ramón Laureano,LF,active
2026-05-06,135,San Diego Padres,681190,Randy Vásquez,P,active
2026-05-06,135,San Diego Padres,676760,Ron Marinaccio,P,active
2026-05-06,135,San Diego Padres,823550,Sung-Mun Song,3B,active
2026-05-06,135,San Diego Padres,664034,Ty France,1B,active
2026-05-06,135,San Diego Padres,621111,Walker Buehler,P,active
2026-05-06,135,San Diego Padres,593974,Wandy Peralta,P,active
2026-05-06,135,San Diego Padres,593428,Xander Bogaerts,SS,active
2026-05-06,135,San Diego Padres,673513,Yuki Matsui,P,active
