date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,136,Seattle Mariners,695380,Alex Hoppe,P,active
2026-05-06,136,Seattle Mariners,662253,Andrés Muñoz,P,active
2026-05-06,136,Seattle Mariners,693433,Bryan Woo,P,active
2026-05-06,136,Seattle Mariners,663728,Cal Raleigh,C,active
2026-05-06,136,Seattle Mariners,702284,Cole Young,2B,active
2026-05-06,136,Seattle Mariners,656582,Connor Joe,1B,active
2026-05-06,136,Seattle Mariners,681867,Cooper Criswell,P,active
2026-05-06,136,Seattle Mariners,686527,Dominic Canzone,RF,active
2026-05-06,136,Seattle Mariners,660825,Eduard Bazardo,P,active
2026-05-06,136,Seattle Mariners,676106,Emerson Hancock,P,active
2026-05-06,136,Seattle Mariners,669923,George Kirby,P,active
2026-05-06,136,Seattle Mariners,641487,J.P. Crawford,SS,active
2026-05-06,136,Seattle Mariners,640902,Jhonny Pereda,C,active
2026-05-06,136,Seattle Mariners,678606,Jose A. Ferrer,P,active
2026-05-06,136,Seattle Mariners,660761,José Suarez,P,active
2026-05-06,136,Seattle Mariners,647304,Josh Naylor,1B,active
2026-05-06,136,Seattle Mariners,681006,Josh Simpson,P,active
2026-05-06,136,Seattle Mariners,677594,Julio Rodríguez,CF,active
2026-05-06,136,Seattle Mariners,660844,Leo Rivas,3B,active
2026-05-06,136,Seattle Mariners,669302,Logan Gilbert,P,active
2026-05-06,136,Seattle Mariners,622491,Luis Castillo,P,active
2026-05-06,136,Seattle Mariners,670042,Luke Raley,RF,active
2026-05-06,136,Seattle Mariners,641598,Mitch Garver,C,active
2026-05-06,136,Seattle Mariners,689546,Nick Davila,P,active
2026-05-06,136,Seattle Mariners,668227,Randy Arozarena,LF,active
2026-05-06,136,Seattle Mariners,608701,Rob Refsnyder,RF,active
