date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,137,San Francisco Giants,605288,Adrian Houser,P,active
2026-05-06,137,San Francisco Giants,805811,Bryce Eldridge,1B,active
2026-05-06,137,San Francisco Giants,668873,Caleb Kilian,P,active
2026-05-06,137,San Francisco Giants,669477,Casey Schmitt,1B,active
2026-05-06,137,San Francisco Giants,683766,Christian Koss,2B,active
2026-05-06,137,San Francisco Giants,687551,Drew Gilbert,CF,active
2026-05-06,137,San Francisco Giants,606992,Eric Haase,C,active
2026-05-06,137,San Francisco Giants,666619,Gregory Santos,P,active
2026-05-06,137,San Francisco Giants,671218,Heliot Ramos,LF,active
2026-05-06,137,San Francisco Giants,664141,JT Brubaker,P,active
2026-05-06,137,San Francisco Giants,683679,Jesus Rodriguez,C,active
2026-05-06,137,San Francisco Giants,666711,Joel Peguero,P,active
2026-05-06,137,San Francisco Giants,808982,Jung Hoo Lee,RF,active
2026-05-06,137,San Francisco Giants,676775,Keaton Winn,P,active
2026-05-06,137,San Francisco Giants,694738,Landen Roupp,P,active
2026-05-06,137,San Francisco Giants,657277,Logan Webb,P,active
2026-05-06,137,San Francisco Giants,650333,Luis Arraez,2B,active
2026-05-06,137,San Francisco Giants,656305,Matt Chapman,3B,active
2026-05-06,137,San Francisco Giants,657424,Matt Gage,P,active
2026-05-06,137,San Francisco Giants,672275,Patrick Bailey,C,active
2026-05-06,137,San Francisco Giants,646240,Rafael Devers,1B,active
2026-05-06,137,San Francisco Giants,592662,Robbie Ray,P,active
2026-05-06,137,San Francisco Giants,621366,Ryan Borucki,P,active
2026-05-06,137,San Francisco Giants,676254,Ryan Walker,P,active
2026-05-06,137,San Francisco Giants,641816,Tyler Mahle,P,active
2026-05-06,137,San Francisco Giants,642715,Willy Adames,SS,active
