date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,140,Texas Rangers,696030,Alejandro Osuna,LF,active
2026-05-06,140,Texas Rangers,457705,Andrew McCutchen,LF,active
2026-05-06,140,Texas Rangers,607043,Brandon Nimmo,RF,active
2026-05-06,140,Texas Rangers,615698,Cal Quantrill,P,active
2026-05-06,140,Texas Rangers,668390,Cole Winn,P,active
2026-05-06,140,Texas Rangers,608369,Corey Seager,SS,active
2026-05-06,140,Texas Rangers,643376,Danny Jansen,C,active
2026-05-06,140,Texas Rangers,694497,Evan Carter,CF,active
2026-05-06,140,Texas Rangers,677649,Ezequiel Duran,LF,active
2026-05-06,140,Texas Rangers,686560,Gavin Collyer,P,active
2026-05-06,140,Texas Rangers,683004,Jack Leiter,P,active
2026-05-06,140,Texas Rangers,656641,Jacob Latz,P,active
2026-05-06,140,Texas Rangers,594798,Jacob deGrom,P,active
2026-05-06,140,Texas Rangers,669394,Jake Burger,1B,active
2026-05-06,140,Texas Rangers,596001,Jakob Junis,P,active
2026-05-06,140,Texas Rangers,656222,Jalen Beeks,P,active
2026-05-06,140,Texas Rangers,592626,Joc Pederson,1B,active
2026-05-06,140,Texas Rangers,673962,Josh Jung,3B,active
2026-05-06,140,Texas Rangers,679822,Justin Foscue,1B,active
2026-05-06,140,Texas Rangers,677958,Kumar Rocker,P,active
2026-05-06,140,Texas Rangers,543309,Kyle Higashioka,C,active
2026-05-06,140,Texas Rangers,669022,MacKenzie Gore,P,active
2026-05-06,140,Texas Rangers,543135,Nathan Eovaldi,P,active
2026-05-06,140,Texas Rangers,682608,Peyton Gray,P,active
2026-05-06,140,Texas Rangers,664059,Sam Haggerty,LF,active
2026-05-06,140,Texas Rangers,641302,Tyler Alexander,P,active
