date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,141,Toronto Blue Jays,665926,Andrés Giménez,SS,active
2026-05-06,141,Toronto Blue Jays,678218,Brandon Valenzuela,C,active
2026-05-06,141,Toronto Blue Jays,680755,Braydon Fisher,P,active
2026-05-06,141,Toronto Blue Jays,662139,Daulton Varsho,CF,active
2026-05-06,141,Toronto Blue Jays,676914,Davis Schneider,LF,active
2026-05-06,141,Toronto Blue Jays,656302,Dylan Cease,P,active
2026-05-06,141,Toronto Blue Jays,641778,Eric Lauer,P,active
2026-05-06,141,Toronto Blue Jays,676391,Ernie Clement,2B,active
2026-05-06,141,Toronto Blue Jays,543807,George Springer,DH,active
2026-05-06,141,Toronto Blue Jays,656546,Jeff Hoffman,P,active
2026-05-06,141,Toronto Blue Jays,660821,Jesús Sánchez,LF,active
2026-05-06,141,Toronto Blue Jays,573009,Joe Mantiply,P,active
2026-05-06,141,Toronto Blue Jays,672960,Kazuma Okamoto,3B,active
2026-05-06,141,Toronto Blue Jays,592332,Kevin Gausman,P,active
2026-05-06,141,Toronto Blue Jays,672820,Lenyn Sosa,2B,active
2026-05-06,141,Toronto Blue Jays,686973,Louis Varland,P,active
2026-05-06,141,Toronto Blue Jays,689254,Mason Fluharty,P,active
2026-05-06,141,Toronto Blue Jays,664702,Myles Straw,RF,active
2026-05-06,141,Toronto Blue Jays,571578,Patrick Corbin,P,active
2026-05-06,141,Toronto Blue Jays,693686,Spencer Miles,P,active
2026-05-06,141,Toronto Blue Jays,667297,Tommy Nance,P,active
2026-05-06,141,Toronto Blue Jays,702056,Trey Yesavage,P,active
2026-05-06,141,Toronto Blue Jays,623168,Tyler Heineman,C,active
2026-05-06,141,Toronto Blue Jays,643511,Tyler Rogers,P,active
2026-05-06,141,Toronto Blue Jays,665489,Vladimir Guerrero Jr.,1B,active
2026-05-06,141,Toronto Blue Jays,682818,Yohendrick Piñango,LF,active
