date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,142,Minnesota Twins,702193,Andrew Morris,P,active
2026-05-06,142,Minnesota Twins,607455,Anthony Banda,P,active
2026-05-06,142,Minnesota Twins,668885,Austin Martin,LF,active
2026-05-06,142,Minnesota Twins,641927,Bailey Ober,P,active
2026-05-06,142,Minnesota Twins,686797,Brooks Lee,SS,active
2026-05-06,142,Minnesota Twins,621439,Byron Buxton,CF,active
2026-05-06,142,Minnesota Twins,687570,Connor Prielipp,P,active
2026-05-06,142,Minnesota Twins,679358,Eric Orze,P,active
2026-05-06,142,Minnesota Twins,681546,James Outman,CF,active
2026-05-06,142,Minnesota Twins,657746,Joe Ryan,P,active
2026-05-06,142,Minnesota Twins,804619,John Klein,P,active
2026-05-06,142,Minnesota Twins,605137,Josh Bell,1B,active
2026-05-06,142,Minnesota Twins,623437,Justin Topa,P,active
2026-05-06,142,Minnesota Twins,665019,Kody Clemens,1B,active
2026-05-06,142,Minnesota Twins,681892,Kody Funderburk,P,active
2026-05-06,142,Minnesota Twins,472610,Luis García,P,active
2026-05-06,142,Minnesota Twins,807712,Luke Keaschall,2B,active
2026-05-06,142,Minnesota Twins,670242,Matt Wallner,RF,active
2026-05-06,142,Minnesota Twins,668904,Royce Lewis,3B,active
2026-05-06,142,Minnesota Twins,680777,Ryan Jeffers,C,active
2026-05-06,142,Minnesota Twins,680573,Simeon Woods Richardson,P,active
2026-05-06,142,Minnesota Twins,671737,Taj Bradley,P,active
2026-05-06,142,Minnesota Twins,573124,Taylor Rogers,P,active
2026-05-06,142,Minnesota Twins,663616,Trevor Larnach,LF,active
2026-05-06,142,Minnesota Twins,656484,Tristan Gray,3B,active
2026-05-06,142,Minnesota Twins,605170,Victor Caratini,C,active
