date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,145,Chicago White Sox,643217,Andrew Benintendi,LF,active
2026-05-06,145,Chicago White Sox,641743,Anthony Kay,P,active
2026-05-06,145,Chicago White Sox,663542,Bryan Hudson,P,active
2026-05-06,145,Chicago White Sox,805367,Chase Meidroth,2B,active
2026-05-06,145,Chicago White Sox,695657,Colson Montgomery,SS,active
2026-05-06,145,Chicago White Sox,663436,Davis Martin,P,active
2026-05-06,145,Chicago White Sox,656537,Derek Hill,RF,active
2026-05-06,145,Chicago White Sox,691011,Drew Romo,C,active
2026-05-06,145,Chicago White Sox,700337,Edgar Quero,C,active
2026-05-06,145,Chicago White Sox,607200,Erick Fedde,P,active
2026-05-06,145,Chicago White Sox,691799,Grant Taylor,P,active
2026-05-06,145,Chicago White Sox,672284,Jarred Kelenic,RF,active
2026-05-06,145,Chicago White Sox,663855,Jordan Hicks,P,active
2026-05-06,145,Chicago White Sox,673929,Jordan Leasure,P,active
2026-05-06,145,Chicago White Sox,682668,Luisangel Acuña,CF,active
2026-05-06,145,Chicago White Sox,678246,Miguel Vargas,3B,active
2026-05-06,145,Chicago White Sox,808959,Munetaka Murakami,1B,active
2026-05-06,145,Chicago White Sox,702273,Noah Schultz,P,active
2026-05-06,145,Chicago White Sox,674370,Osvaldo Bido,P,active
2026-05-06,145,Chicago White Sox,545341,Randal Grichuk,LF,active
2026-05-06,145,Chicago White Sox,803011,Sam Antonacci,LF,active
2026-05-06,145,Chicago White Sox,680732,Sean Burke,P,active
2026-05-06,145,Chicago White Sox,656794,Sean Newcomb,P,active
2026-05-06,145,Chicago White Sox,622554,Seranthony Domínguez,P,active
2026-05-06,145,Chicago White Sox,671976,Tristan Peters,CF,active
2026-05-06,145,Chicago White Sox,699823,Tyler Davis,P,active
