date,team_id,team_name,player_id,player_name,position,roster_type
2026-05-06,158,Milwaukee Brewers,676879,Aaron Ashby,P,active
2026-05-06,158,Milwaukee Brewers,682842,Abner Uribe,P,active
2026-05-06,158,Milwaukee Brewers,683734,Andrew Vaughn,1B,active
2026-05-06,158,Milwaukee Brewers,663604,Brandon Lockridge,LF,active
2026-05-06,158,Milwaukee Brewers,687075,Brandon Sproat,P,active
2026-05-06,158,Milwaukee Brewers,702153,Brian Fitzpatrick,P,active
2026-05-06,158,Milwaukee Brewers,668930,Brice Turang,2B,active
2026-05-06,158,Milwaukee Brewers,694477,Chad Patrick,P,active
2026-05-06,158,Milwaukee Brewers,669084,DL Hall,P,active
2026-05-06,158,Milwaukee Brewers,666152,David Hamilton,3B,active
2026-05-06,158,Milwaukee Brewers,669003,Garrett Mitchell,CF,active
2026-05-06,158,Milwaukee Brewers,596142,Gary Sánchez,C,active
2026-05-06,158,Milwaukee Brewers,681982,Grant Anderson,P,active
2026-05-06,158,Milwaukee Brewers,694192,Jackson Chourio,CF,active
2026-05-06,158,Milwaukee Brewers,694819,Jacob Misiorowski,P,active
2026-05-06,158,Milwaukee Brewers,641343,Jake Bauers,1B,active
2026-05-06,158,Milwaukee Brewers,663765,Jake Woodford,P,active
2026-05-06,158,Milwaukee Brewers,687401,Joey Ortiz,SS,active
2026-05-06,158,Milwaukee Brewers,690986,Kyle Harrison,P,active
2026-05-06,158,Milwaukee Brewers,701656,Logan Henderson,P,active
2026-05-06,158,Milwaukee Brewers,650859,Luis Rengifo,3B,active
2026-05-06,158,Milwaukee Brewers,686217,Sal Frelick,RF,active
2026-05-06,158,Milwaukee Brewers,675660,Shane Drohan,P,active
2026-05-06,158,Milwaukee Brewers,656730,Trevor Megill,P,active
2026-05-06,158,Milwaukee Brewers,672012,Tyler Black,3B,active
2026-05-06,158,Milwaukee Brewers,661388,William Contreras,C,active
